
Loaded txt
1944360
  0%|          | 0/10000 [00:00<?, ?it/s]
/home/sujaynair/RaCA-SOC-a-spectrum-analysis/RaCA-SOC-a/Step9/models.py:56: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  ms = self.smax(y_mlp);
Epoch [0/10000], Loss: 0.0002717570459935814
Validation Loss: 0.00017543640569783747
Validation Loss: 8.632523531559855e-05
Validation Loss: 4.6061704779276624e-05
Validation Loss: 4.462635115487501e-05
Validation Loss: 3.78982222173363e-05
Validation Loss: 2.3336384401773103e-05
Validation Loss: 2.108959961333312e-05
Validation Loss: 2.7913867597817443e-05
Validation Loss: 3.435122562223114e-05
Validation Loss: 1.4833813111181371e-05
Validation Loss: 2.0057574147358537e-05
Validation Loss: 1.4435611774388235e-05
Validation Loss: 1.481930030422518e-05
Validation Loss: 1.2206620340293739e-05
Validation Loss: 1.4477573131443933e-05
Validation Loss: 1.3170974852982908e-05
Validation Loss: 1.7795133317122236e-05
Validation Loss: 1.0809027116920333e-05
Validation Loss: 1.2513632100308314e-05
Validation Loss: 1.5446679753949866e-05
Validation Loss: 1.1630496373982169e-05
Validation Loss: 1.1484462447697297e-05
Validation Loss: 1.5283147149602883e-05
Validation Loss: 1.0605211173242424e-05
Validation Loss: 1.0848357305803802e-05
Validation Loss: 1.4302851923275739e-05
Validation Loss: 1.729008181428071e-05
Validation Loss: 1.2238182534929365e-05
Validation Loss: 1.3801683053316083e-05
Validation Loss: 1.6901569324545562e-05
Validation Loss: 1.1994035048701335e-05
Validation Loss: 1.1649299267446622e-05
Validation Loss: 1.5746301869512536e-05
Validation Loss: 1.2933172001794446e-05
Validation Loss: 1.692574005573988e-05
Validation Loss: 1.3374754416872747e-05
Validation Loss: 1.160162628366379e-05
Validation Loss: 1.4661007298855111e-05
Validation Loss: 1.0988987014570739e-05
Validation Loss: 2.1664811356458813e-05
Validation Loss: 1.1984374395979103e-05
Validation Loss: 1.1956590242334642e-05
Validation Loss: 9.628129191696644e-06
Validation Loss: 8.440450073976535e-06
