
Loaded txt
1944360
  0%|          | 0/30 [00:00<?, ?it/s]
/home/sujaynair/RaCA-SOC-a-spectrum-analysis/RaCA-SOC-a/Step9/models.py:59: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  ms = self.smax(y_mlp);
Epoch [0/30], Loss: 0.000532212492544204
Validation Loss: 0.0003074417181778699
Validation Loss: 6.036437480361201e-05
Validation Loss: 3.958450906793587e-05
Validation Loss: 4.61555682704784e-05
Validation Loss: 2.519734152883757e-05
Validation Loss: 2.923891952377744e-05
Validation Loss: 2.8846034183516167e-05
Validation Loss: 3.2114072382682934e-05
Validation Loss: 2.8912989364471287e-05
Validation Loss: 2.0775676603079773e-05
Validation Loss: 1.881494972622022e-05
Validation Loss: 1.6815733033581637e-05
Validation Loss: 1.9885843357769772e-05
Validation Loss: 1.737635648169089e-05
Validation Loss: 1.678024091233965e-05
Validation Loss: 1.6147967471624725e-05
Validation Loss: 1.837779927882366e-05
Validation Loss: 1.3059072443866171e-05
Validation Loss: 2.023745037149638e-05
Validation Loss: 1.3176021639083046e-05
Validation Loss: 3.5325298085808754e-05
Validation Loss: 1.604252429387998e-05
Validation Loss: 1.7732203559717163e-05
Validation Loss: 1.580516982357949e-05
Validation Loss: 1.578611227159854e-05
Validation Loss: 1.650106059969403e-05
Validation Loss: 1.833084024838172e-05
Validation Loss: 1.2132673873566091e-05
Validation Loss: 1.3888430657971185e-05
Validation Loss: 1.2305356904107612e-05
