
Loaded txt
1944360
  0%|          | 0/100 [00:00<?, ?it/s]
/home/sujaynair/RaCA-SOC-a-spectrum-analysis/RaCA-SOC-a/Step9/models.py:59: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  ms = self.smax(y_mlp);
Epoch [0/100], Loss: 0.00045333075104281306
Validation Loss: 0.00027642466011457145
Validation Loss: 8.039691601879895e-05
Validation Loss: 5.2805535233346745e-05
Validation Loss: 2.9681570595130324e-05
Validation Loss: 2.7437741664471105e-05
Validation Loss: 1.5487790733459406e-05
Validation Loss: 1.8463635569787584e-05
Validation Loss: 2.274963480886072e-05
Validation Loss: 2.3240876544150524e-05
Validation Loss: 1.7200740330736153e-05
Validation Loss: 1.4993489457992837e-05
Validation Loss: 1.3420277355180588e-05
Validation Loss: 1.5301560779334977e-05
Validation Loss: 1.7409496649634093e-05
Validation Loss: 1.2902482922072522e-05
Validation Loss: 1.2263810276635922e-05
Validation Loss: 2.2053853172110394e-05
Validation Loss: 1.3766238225798588e-05
Validation Loss: 1.2881197108072229e-05
Validation Loss: 1.1960484698647633e-05
Validation Loss: 1.5200267625914421e-05
Validation Loss: 1.3321303413249552e-05
Validation Loss: 1.4093469872022979e-05
Validation Loss: 1.1564227861526888e-05
Validation Loss: 1.3328887689567637e-05
Validation Loss: 1.5412289940286428e-05
Validation Loss: 1.923978743434418e-05
Validation Loss: 9.574082469043788e-06
Validation Loss: 1.120390425057849e-05
Validation Loss: 1.751281160977669e-05
Validation Loss: 1.754829463607166e-05
Validation Loss: 1.3137643691152334e-05
Validation Loss: 1.189610247820383e-05
Validation Loss: 1.3531943295674864e-05
Validation Loss: 1.3001897968933918e-05
Validation Loss: 1.0974765245919116e-05
Validation Loss: 1.1126010576845147e-05
Validation Loss: 9.983938980440143e-06
Validation Loss: 1.0545168152020779e-05
Validation Loss: 1.3023927749600261e-05
Validation Loss: 1.0840241884579882e-05
Validation Loss: 1.4425248082261533e-05
Validation Loss: 1.0250180821458343e-05
Validation Loss: 1.20879967653309e-05
Validation Loss: 1.314935343543766e-05
Validation Loss: 1.4281848962127697e-05
Validation Loss: 8.972988325695042e-06
Validation Loss: 1.1580019418033771e-05
Validation Loss: 1.0926127288257703e-05
Validation Loss: 1.3039254554314539e-05
Validation Loss: 1.1202569112356286e-05
Validation Loss: 8.854047337081283e-06
Validation Loss: 1.1415808330639265e-05
Validation Loss: 9.970846804208122e-06
Validation Loss: 1.220063404616667e-05
Validation Loss: 8.235767381847836e-06
Validation Loss: 9.454165592615027e-06
Validation Loss: 9.292025424656458e-06
Validation Loss: 7.508146154577844e-06
Validation Loss: 1.2081016393494792e-05
Validation Loss: 1.4895912499923725e-05
Validation Loss: 9.28633198782336e-06
Validation Loss: 1.0624390597513411e-05
Validation Loss: 1.2933181096741464e-05
Validation Loss: 9.235506695404183e-06
Validation Loss: 1.347874422208406e-05
Validation Loss: 9.500481610302813e-06
Validation Loss: 1.0356267921451945e-05
Validation Loss: 1.1335355338815134e-05
Validation Loss: 1.1032523616449907e-05
Validation Loss: 1.0485536222404335e-05
Validation Loss: 1.0568271136435214e-05
Validation Loss: 1.2980893188796472e-05
Validation Loss: 1.1540287232492119e-05
Validation Loss: 1.0740682228060905e-05
Validation Loss: 8.065797374001704e-06
Validation Loss: 9.944787962012924e-06
Validation Loss: 9.466882147535216e-06
Validation Loss: 1.194045580632519e-05
Validation Loss: 1.3547009984904435e-05
Validation Loss: 1.48229009937495e-05
Validation Loss: 9.456246516492683e-06
Validation Loss: 1.0907825526373927e-05
Validation Loss: 9.820649211178534e-06
Validation Loss: 1.0309741810488049e-05
Validation Loss: 1.1631452252913732e-05
Validation Loss: 1.1511297998367809e-05
Validation Loss: 9.696028428152204e-06
Validation Loss: 8.952220923674759e-06
Validation Loss: 1.0443151950312313e-05
Validation Loss: 9.667859558248892e-06
Validation Loss: 1.1569520211196505e-05
Validation Loss: 1.0655172445694916e-05
Validation Loss: 9.501504791842308e-06
Validation Loss: 1.1682425792969298e-05
Validation Loss: 9.946125828719232e-06
Validation Loss: 8.261799848696683e-06
Validation Loss: 9.891732588585e-06
Validation Loss: 9.280753147322685e-06
Validation Loss: 1.0321619811293203e-05
