
Loaded txt
1944360
  0%|          | 0/100 [00:00<?, ?it/s]
/home/sujaynair/RaCA-SOC-a-spectrum-analysis/RaCA-SOC-a/Step9/models.py:59: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  ms = self.smax(y_mlp);
Epoch [0/100], Loss: 0.0004974597250111401
Validation Loss: 0.0002179520233767107
Validation Loss: 9.249963477486745e-05
Validation Loss: 3.927843863493763e-05
Validation Loss: 3.731495962711051e-05
Validation Loss: 7.180586544563994e-05
Validation Loss: 5.8661789807956666e-05
Validation Loss: 2.6779242034535855e-05
Validation Loss: 1.91391482076142e-05
Validation Loss: 3.646279947133735e-05
Validation Loss: 2.6865085601457395e-05
Validation Loss: 1.998972766159568e-05
Validation Loss: 2.164494617318269e-05
Validation Loss: 2.687202322704252e-05
Validation Loss: 1.5923005776130594e-05
Validation Loss: 1.742503809509799e-05
Validation Loss: 2.5208819351973943e-05
Validation Loss: 1.7271799151785672e-05
Validation Loss: 1.9249053366365843e-05
Validation Loss: 1.4764475054107606e-05
Validation Loss: 1.7113588910433464e-05
Validation Loss: 1.8779031961457804e-05
Validation Loss: 1.6253870853688568e-05
Validation Loss: 1.6855052308528684e-05
Validation Loss: 1.4917804037395399e-05
Validation Loss: 2.4407678210991435e-05
Validation Loss: 1.2920254448545165e-05
Validation Loss: 1.8277614799444564e-05
Validation Loss: 1.293376863031881e-05
Validation Loss: 1.4993900549598038e-05
Validation Loss: 1.8490578440832905e-05
Validation Loss: 8.688077286933549e-06
Validation Loss: 1.7070977264666e-05
Validation Loss: 1.51025833474705e-05
Validation Loss: 1.2776538824255113e-05
Validation Loss: 1.1156271284562536e-05
Validation Loss: 1.2255077308509499e-05
Validation Loss: 1.1356230061210226e-05
Validation Loss: 1.0727503649832215e-05
Validation Loss: 1.235582385561429e-05
Validation Loss: 1.392985177517403e-05
Validation Loss: 1.5209626326395664e-05
Validation Loss: 1.7730833860696293e-05
Validation Loss: 1.1972701940976549e-05
Validation Loss: 1.290557520405855e-05
Validation Loss: 9.412386134499684e-06
Validation Loss: 1.7480568203609437e-05
Validation Loss: 9.009499081003014e-06
Validation Loss: 1.368528955936199e-05
Validation Loss: 1.1630831068032421e-05
Validation Loss: 1.3613384908239823e-05
Validation Loss: 8.528303624188993e-06
Validation Loss: 1.5524665286648087e-05
Validation Loss: 1.1755368177546188e-05
Validation Loss: 1.815424366213847e-05
Validation Loss: 1.6357334970962256e-05
Validation Loss: 1.624971628189087e-05
Validation Loss: 1.1245432688156143e-05
Validation Loss: 1.0084665518661495e-05
Validation Loss: 1.4554592780768871e-05
Validation Loss: 1.382201116939541e-05
Validation Loss: 1.0729801033448894e-05
Validation Loss: 1.1480044122436084e-05
Validation Loss: 1.085813892132137e-05
Validation Loss: 1.3989117178425658e-05
Validation Loss: 1.3166521966923028e-05
Validation Loss: 1.3309630048752297e-05
Validation Loss: 1.4593893865821883e-05
Validation Loss: 1.0682862921385095e-05
Validation Loss: 1.3323387065611314e-05
Validation Loss: 1.0687059329939075e-05
Validation Loss: 1.7586055037099868e-05
Validation Loss: 1.3855655197403394e-05
Validation Loss: 1.4132531759969424e-05
Validation Loss: 1.326963865722064e-05
Validation Loss: 1.4401374755834695e-05
Validation Loss: 1.3749472600466106e-05
Validation Loss: 1.4033824299986009e-05
Validation Loss: 1.4951209777791519e-05
Validation Loss: 1.2914197213831358e-05
Validation Loss: 1.1693966371240094e-05
Validation Loss: 1.2200951459817588e-05
Validation Loss: 1.4787908185098786e-05
Validation Loss: 9.213701559929177e-06
Validation Loss: 1.2648220945266075e-05
Validation Loss: 1.1439655281719752e-05
Validation Loss: 1.3081116776447743e-05
Validation Loss: 1.1175497093063314e-05
Validation Loss: 1.1984016964561306e-05
Validation Loss: 1.126845927501563e-05
Validation Loss: 1.2219156815262977e-05
Validation Loss: 1.4209771507012192e-05
Validation Loss: 1.3851746189175174e-05
Validation Loss: 9.998447239922825e-06
Validation Loss: 1.6663065252942033e-05
Validation Loss: 1.1298158824502025e-05
Validation Loss: 1.1132702638860792e-05
Validation Loss: 1.0760866643977351e-05
Validation Loss: 1.6708076145732775e-05
Validation Loss: 1.3427400517684873e-05
Validation Loss: 1.1247117981838528e-05
