
Loaded txt
1944360
  0%|          | 0/100 [00:00<?, ?it/s]
/home/sujaynair/RaCA-SOC-a-spectrum-analysis/RaCA-SOC-a/Step9/models.py:59: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  ms = self.smax(y_mlp);
Epoch [0/100], Loss: 0.00048644188791513443
Validation Loss: 0.00044755800627171993
Validation Loss: 0.00010864914656849578
Validation Loss: 4.9756814405554906e-05
Validation Loss: 3.60944468411617e-05
Validation Loss: 3.0472854632535018e-05
Validation Loss: 2.2439124222728424e-05
Validation Loss: 1.9511848222464323e-05
Validation Loss: 2.0736639271490276e-05
Validation Loss: 1.572152723383624e-05
Validation Loss: 2.070800110232085e-05
Validation Loss: 1.6060117559391074e-05
Validation Loss: 1.471110499551287e-05
Validation Loss: 1.931202132254839e-05
Validation Loss: 1.3715336535824463e-05
Validation Loss: 1.884364064608235e-05
Validation Loss: 1.6674448488629423e-05
Validation Loss: 1.2037136912113056e-05
Validation Loss: 1.5427693142555654e-05
Validation Loss: 1.5825246009626426e-05
Validation Loss: 1.1658574294415303e-05
Validation Loss: 1.0724625099101104e-05
Validation Loss: 1.0031653800979257e-05
Validation Loss: 1.1857994650199544e-05
Validation Loss: 1.1543749678821769e-05
Validation Loss: 1.2595034604601096e-05
Validation Loss: 1.345087821391644e-05
Validation Loss: 9.656915608502459e-06
Validation Loss: 1.0886795280384831e-05
Validation Loss: 1.5023558262328152e-05
Validation Loss: 1.04095961432904e-05
Validation Loss: 1.1698636626533698e-05
Validation Loss: 1.3074936759949196e-05
Validation Loss: 1.2006881661363877e-05
Validation Loss: 1.3595027667179238e-05
Validation Loss: 1.3591577044280712e-05
Validation Loss: 1.139808136940701e-05
Validation Loss: 1.1911232832062524e-05
Validation Loss: 9.169201803160831e-06
Validation Loss: 1.1650219676084816e-05
Validation Loss: 9.475203114561737e-06
Validation Loss: 1.1757670108636376e-05
Validation Loss: 1.0020854460890405e-05
Validation Loss: 9.20050933927996e-06
Validation Loss: 7.998361070349347e-06
Validation Loss: 9.976623005059082e-06
Validation Loss: 1.6923306247917935e-05
Validation Loss: 1.383331255055964e-05
Validation Loss: 9.901244993670844e-06
Validation Loss: 9.550829418003559e-06
Validation Loss: 1.314868131885305e-05
Validation Loss: 9.894361028273124e-06
Validation Loss: 9.928997315000743e-06
Validation Loss: 7.866958185331896e-06
Validation Loss: 8.983420229924377e-06
Validation Loss: 1.155282006948255e-05
Validation Loss: 1.119494299928192e-05
Validation Loss: 1.5005693057901226e-05
Validation Loss: 1.472286294301739e-05
Validation Loss: 1.1542511856532656e-05
Validation Loss: 9.290491107094567e-06
Validation Loss: 8.918921594158746e-06
Validation Loss: 1.8891767467721365e-05
Validation Loss: 1.2433837582648266e-05
Validation Loss: 8.00225643615704e-06
Validation Loss: 1.1080138392571826e-05
Validation Loss: 1.1110208106401842e-05
Validation Loss: 9.520612366031855e-06
Validation Loss: 9.976306500902865e-06
Validation Loss: 1.3394182133197319e-05
Validation Loss: 9.159951332549099e-06
Validation Loss: 9.456985935685225e-06
Validation Loss: 1.1614062714215834e-05
Validation Loss: 1.2840586350648664e-05
Validation Loss: 1.0261142961098813e-05
Validation Loss: 9.78838033915963e-06
Validation Loss: 1.1580883438000455e-05
Validation Loss: 1.0359402040194254e-05
Validation Loss: 1.2270787010493223e-05
Validation Loss: 1.0273518455505837e-05
Validation Loss: 1.0170979294343852e-05
Validation Loss: 1.0967517482640687e-05
Validation Loss: 1.1436715794843622e-05
Validation Loss: 1.165756748378044e-05
Validation Loss: 1.1656312381091993e-05
Validation Loss: 9.1427664301591e-06
Validation Loss: 1.1323484613967594e-05
Validation Loss: 1.6207575754378922e-05
Validation Loss: 9.21253831620561e-06
Validation Loss: 1.1705781616910826e-05
Validation Loss: 1.1199290383956395e-05
Validation Loss: 1.307271759287687e-05
Validation Loss: 9.016763215186074e-06
Validation Loss: 1.4080305845709518e-05
Validation Loss: 1.0792665307235438e-05
Validation Loss: 1.2471796253521461e-05
Validation Loss: 1.0722514161898289e-05
Validation Loss: 1.0665343324944843e-05
Validation Loss: 1.1252078365941998e-05
Validation Loss: 1.1142359653604217e-05
Validation Loss: 1.2904180948680732e-05
