
Loaded txt
1944360
  0%|          | 0/100 [00:00<?, ?it/s]
/home/sujaynair/RaCA-SOC-a-spectrum-analysis/RaCA-SOC-a/Step9/models.py:59: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  ms = self.smax(y_mlp);
Epoch [0/100], Loss: 0.0008297961903735995
Validation Loss: 0.0003789952024817467
Validation Loss: 8.19229317130521e-05
Validation Loss: 3.467450005700812e-05
Validation Loss: 2.4354585548280738e-05
Validation Loss: 2.1076644770801067e-05
Validation Loss: 2.4444860173389316e-05
Validation Loss: 1.678309854469262e-05
Validation Loss: 1.840575714595616e-05
Validation Loss: 1.3317617231223267e-05
Validation Loss: 1.7978592950385064e-05
Validation Loss: 1.2625131603272166e-05
Validation Loss: 1.5052798516990151e-05
Validation Loss: 1.4359134183905553e-05
Validation Loss: 1.3878375284548383e-05
Validation Loss: 1.3244830370240379e-05
Validation Loss: 1.2381134183669928e-05
Validation Loss: 1.1198907486686949e-05
Validation Loss: 1.1557142897800077e-05
Validation Loss: 1.1301668564556167e-05
Validation Loss: 1.1319350960548036e-05
Validation Loss: 9.596013114787638e-06
Validation Loss: 1.4762579667149112e-05
Validation Loss: 1.0839771675819065e-05
Validation Loss: 1.1043372978747357e-05
Validation Loss: 1.0449400178913493e-05
Validation Loss: 1.2677795893978328e-05
Validation Loss: 1.2295359738345724e-05
Validation Loss: 9.572001545166131e-06
Validation Loss: 1.3261016647447832e-05
Validation Loss: 1.1041787729482166e-05
Validation Loss: 1.5379155229311436e-05
Validation Loss: 9.257539204554632e-06
Validation Loss: 9.173918442684226e-06
Validation Loss: 8.62209708429873e-06
Validation Loss: 1.3642226804222446e-05
Validation Loss: 9.169454642687924e-06
Validation Loss: 1.1887268556165509e-05
Validation Loss: 8.536562745575793e-06
Validation Loss: 9.577554010320455e-06
Validation Loss: 9.847956789599266e-06
Validation Loss: 9.812472853809595e-06
Validation Loss: 1.1963143151660915e-05
Validation Loss: 1.0235383342660498e-05
Validation Loss: 9.739532288222108e-06
Validation Loss: 8.287279342766851e-06
Validation Loss: 9.65390518103959e-06
Validation Loss: 1.1468437151052058e-05
Validation Loss: 8.572216756874695e-06
Validation Loss: 9.222660992236342e-06
Validation Loss: 7.182599802035838e-06
Validation Loss: 8.663236258144025e-06
Validation Loss: 7.634568646608386e-06
Validation Loss: 8.087080459517892e-06
Validation Loss: 1.1194172657269519e-05
Validation Loss: 1.0671900781744625e-05
Validation Loss: 1.092916772904573e-05
Validation Loss: 8.407947461819276e-06
Validation Loss: 1.0059443411591928e-05
Validation Loss: 8.780537427810486e-06
Validation Loss: 1.024439279717626e-05
Validation Loss: 9.018567652674392e-06
Validation Loss: 1.0215427209914196e-05
Validation Loss: 8.953818905865774e-06
Validation Loss: 7.986814125615638e-06
Validation Loss: 1.099484597943956e-05
Validation Loss: 1.0825130630109925e-05
Validation Loss: 1.1148351404699497e-05
Validation Loss: 1.3810291420668364e-05
Validation Loss: 9.265454536944162e-06
Validation Loss: 1.0667810784070753e-05
Validation Loss: 1.0739358913269825e-05
Validation Loss: 9.534020136925392e-06
Validation Loss: 8.305159099109005e-06
Validation Loss: 1.0334997568861581e-05
Validation Loss: 1.0402756743133068e-05
Validation Loss: 9.248847163689788e-06
Validation Loss: 8.044635251280852e-06
Validation Loss: 9.849203706835397e-06
Validation Loss: 8.393211828661151e-06
Validation Loss: 8.662843356432859e-06
Validation Loss: 1.0781833225337323e-05
Validation Loss: 7.854518116801046e-06
Validation Loss: 8.927663657232188e-06
Validation Loss: 8.263104973593727e-06
Validation Loss: 9.129677891905885e-06
Validation Loss: 9.309492270404007e-06
Validation Loss: 9.280512131226715e-06
Validation Loss: 9.034425602294505e-06
Validation Loss: 8.44085298012942e-06
Validation Loss: 9.287223292631097e-06
Validation Loss: 8.848519428283907e-06
Validation Loss: 9.388319085701369e-06
Validation Loss: 7.882338650233578e-06
Validation Loss: 8.258707566710655e-06
Validation Loss: 7.763212124700658e-06
Validation Loss: 1.0678603757696692e-05
Validation Loss: 1.3049490007688291e-05
Validation Loss: 8.97189511306351e-06
Validation Loss: 9.576701813784894e-06
Validation Loss: 8.617473213234916e-06
