
Loaded txt
1944360
  0%|          | 0/100 [00:00<?, ?it/s]
/home/sujaynair/RaCA-SOC-a-spectrum-analysis/RaCA-SOC-a/Step9/models.py:59: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  ms = self.smax(y_mlp);
Epoch [0/100], Loss: 0.00027570221573114395
Validation Loss: 0.00019571134180296212
Validation Loss: 7.334477413678542e-05
Validation Loss: 2.6807882022694685e-05
Validation Loss: 2.8772230507456698e-05
Validation Loss: 2.2937116227694787e-05
Validation Loss: 2.1954076146357693e-05
Validation Loss: 2.0768300601048395e-05
Validation Loss: 1.802633960323874e-05
Validation Loss: 1.543603684694972e-05
Validation Loss: 2.0748720999108627e-05
Validation Loss: 1.917169356602244e-05
Validation Loss: 1.7373871742165647e-05
Validation Loss: 1.4055633073439822e-05
Validation Loss: 1.3050872439634986e-05
Validation Loss: 1.4477732293016743e-05
Validation Loss: 1.1038579032174312e-05
Validation Loss: 1.5679419448133558e-05
Validation Loss: 1.2252809028723277e-05
Validation Loss: 1.2721735402010381e-05
Validation Loss: 1.26245331557584e-05
Validation Loss: 1.1621741577982903e-05
Validation Loss: 1.802177939680405e-05
Validation Loss: 1.1390432518965099e-05
Validation Loss: 1.3565221706812736e-05
Validation Loss: 1.4356042811414227e-05
Validation Loss: 1.4170476788422093e-05
Validation Loss: 1.0508512787055224e-05
Validation Loss: 1.958455868589226e-05
Validation Loss: 1.3490325727616437e-05
Validation Loss: 1.4411773008760065e-05
Validation Loss: 1.224099105456844e-05
Validation Loss: 1.3763605238636956e-05
Validation Loss: 1.4171449038258288e-05
Validation Loss: 1.3634967217512894e-05
Validation Loss: 9.16360477276612e-06
Validation Loss: 1.0589681551209651e-05
Validation Loss: 1.1154946150782052e-05
Validation Loss: 1.0138965990336146e-05
Validation Loss: 9.406237950315699e-06
Validation Loss: 1.368098037346499e-05
Validation Loss: 1.532073838461656e-05
Validation Loss: 1.47646260302281e-05
Validation Loss: 1.6001278709154576e-05
Validation Loss: 9.124505595536903e-06
Validation Loss: 1.613145650480874e-05
Validation Loss: 2.5724724764586426e-05
Validation Loss: 8.093526957964059e-06
Validation Loss: 1.7876953279483132e-05
Validation Loss: 1.279422576772049e-05
Validation Loss: 1.2069377589796204e-05
Validation Loss: 1.1711434126482345e-05
Validation Loss: 8.794548193691298e-06
Validation Loss: 1.1048282431147527e-05
Validation Loss: 2.366263470321428e-05
Validation Loss: 1.495911055826582e-05
Validation Loss: 9.073430192074738e-06
Validation Loss: 1.2172818060207646e-05
Validation Loss: 9.582912753103301e-06
Validation Loss: 1.288474777538795e-05
Validation Loss: 2.356339609832503e-05
Validation Loss: 1.3606766515295021e-05
Validation Loss: 1.1053796697524376e-05
Validation Loss: 1.218897432408994e-05
Validation Loss: 9.77591935225064e-06
Validation Loss: 1.088442968466552e-05
Validation Loss: 1.3096183465677314e-05
Validation Loss: 1.2131480616517365e-05
Validation Loss: 1.0449729415995535e-05
Validation Loss: 8.81508913153084e-06
Validation Loss: 1.1529840776347555e-05
Validation Loss: 1.2136077202740125e-05
Validation Loss: 1.3930876775702927e-05
Validation Loss: 1.873935070761945e-05
Validation Loss: 1.13708883873187e-05
Validation Loss: 8.550066922907718e-06
Validation Loss: 1.3983541066409089e-05
Validation Loss: 9.397268513566814e-06
Validation Loss: 1.0448348803038243e-05
Validation Loss: 1.2708465874311514e-05
Validation Loss: 1.571780194353778e-05
Validation Loss: 1.1565466593310703e-05
Validation Loss: 1.023434833768988e-05
Validation Loss: 1.1223314686503727e-05
Validation Loss: 8.440270903520286e-06
Validation Loss: 1.1418284884712193e-05
Validation Loss: 1.4880250091664493e-05
Validation Loss: 1.6640813555568457e-05
Validation Loss: 1.17342387966346e-05
Validation Loss: 1.0929147720162291e-05
Validation Loss: 8.50065225677099e-06
Validation Loss: 1.1447767974459566e-05
Validation Loss: 9.381603376823477e-06
Validation Loss: 7.832067240087781e-06
Validation Loss: 1.4797932635701727e-05
Validation Loss: 1.3862643754691817e-05
Validation Loss: 1.0088165254273918e-05
Validation Loss: 1.8363496565143578e-05
Validation Loss: 1.568643347127363e-05
Validation Loss: 8.709771464054938e-06
Validation Loss: 9.10647304408485e-06
