
Loaded txt
Using Transformer Model
  0%|          | 0/10000 [00:00<?, ?it/s]
Epoch 0: Encoder Loss: 7.7332, Decoder Loss: 0.0212
Validation - Encoder Loss: 7.5820, Decoder Loss: 0.0190
Epoch 1: Encoder Loss: 7.6474, Decoder Loss: 0.0167
Validation - Encoder Loss: 7.5784, Decoder Loss: 0.0149
Epoch 2: Encoder Loss: 7.6466, Decoder Loss: 0.0132
Validation - Encoder Loss: 7.5725, Decoder Loss: 0.0119
Epoch 3: Encoder Loss: 7.6395, Decoder Loss: 0.0108
Validation - Encoder Loss: 7.5763, Decoder Loss: 0.0098
Epoch 4: Encoder Loss: 7.6392, Decoder Loss: 0.0087
Validation - Encoder Loss: 7.5694, Decoder Loss: 0.0078
Epoch 5: Encoder Loss: 7.6393, Decoder Loss: 0.0070
Validation - Encoder Loss: 7.5624, Decoder Loss: 0.0062
Epoch 6: Encoder Loss: 7.6349, Decoder Loss: 0.0056
Validation - Encoder Loss: 7.5696, Decoder Loss: 0.0049
Epoch 7: Encoder Loss: 7.6328, Decoder Loss: 0.0044
Validation - Encoder Loss: 7.5589, Decoder Loss: 0.0039
Epoch 8: Encoder Loss: 7.6368, Decoder Loss: 0.0035
Validation - Encoder Loss: 7.5631, Decoder Loss: 0.0031
Epoch 9: Encoder Loss: 7.6314, Decoder Loss: 0.0028
Validation - Encoder Loss: 7.5602, Decoder Loss: 0.0025
Epoch 10: Encoder Loss: 7.6333, Decoder Loss: 0.0022
Validation - Encoder Loss: 7.5622, Decoder Loss: 0.0020
Epoch 11: Encoder Loss: 7.6296, Decoder Loss: 0.0018
Validation - Encoder Loss: 7.5678, Decoder Loss: 0.0017
Epoch 12: Encoder Loss: 7.6289, Decoder Loss: 0.0015
Validation - Encoder Loss: 7.5674, Decoder Loss: 0.0013
Epoch 13: Encoder Loss: 7.6317, Decoder Loss: 0.0012
Validation - Encoder Loss: 7.5628, Decoder Loss: 0.0011
Epoch 14: Encoder Loss: 7.6299, Decoder Loss: 0.0010
Validation - Encoder Loss: 7.5624, Decoder Loss: 0.0010
Epoch 15: Encoder Loss: 7.6308, Decoder Loss: 0.0009
Validation - Encoder Loss: 7.5615, Decoder Loss: 0.0008
Epoch 16: Encoder Loss: 7.6304, Decoder Loss: 0.0008
Validation - Encoder Loss: 7.5601, Decoder Loss: 0.0007
Epoch 17: Encoder Loss: 7.6265, Decoder Loss: 0.0007
Validation - Encoder Loss: 7.5607, Decoder Loss: 0.0006
