
Loaded txt
Using 1D Conv Model with Uncertainties
  0%|          | 0/1000 [00:00<?, ?it/s]
Epoch 0: Encoder Loss: 6.0995, Decoder Loss: 0.0271
Validation - Encoder Loss: 1.0541, Decoder Loss: 0.0229
Epoch 1: Encoder Loss: 0.9333, Decoder Loss: 0.0186
Validation - Encoder Loss: 1.1692, Decoder Loss: 0.0132
Epoch 2: Encoder Loss: 0.7247, Decoder Loss: 0.0086
Validation - Encoder Loss: 0.9237, Decoder Loss: 0.0037
Epoch 3: Encoder Loss: 0.6835, Decoder Loss: 0.0021
Validation - Encoder Loss: 0.4618, Decoder Loss: 0.0012
Epoch 4: Encoder Loss: 0.5255, Decoder Loss: 0.0008
Validation - Encoder Loss: 0.9096, Decoder Loss: 0.0007
Epoch 5: Encoder Loss: 0.5197, Decoder Loss: 0.0005
Validation - Encoder Loss: 0.4632, Decoder Loss: 0.0004
Epoch 6: Encoder Loss: 0.5602, Decoder Loss: 0.0005
Validation - Encoder Loss: 0.5359, Decoder Loss: 0.0006
Epoch 7: Encoder Loss: 0.4644, Decoder Loss: 0.0004
Validation - Encoder Loss: 0.3728, Decoder Loss: 0.0003
Epoch 8: Encoder Loss: 0.4535, Decoder Loss: 0.0004
Validation - Encoder Loss: 0.3744, Decoder Loss: 0.0004
Epoch 9: Encoder Loss: 0.4238, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.3531, Decoder Loss: 0.0004
Epoch 10: Encoder Loss: 0.4709, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.4912, Decoder Loss: 0.0003
Epoch 11: Encoder Loss: 0.3985, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.5648, Decoder Loss: 0.0004
Epoch 12: Encoder Loss: 0.4647, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.3209, Decoder Loss: 0.0003
Epoch 13: Encoder Loss: 0.3787, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.3066, Decoder Loss: 0.0003
Epoch 14: Encoder Loss: 0.3543, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.2760, Decoder Loss: 0.0002
Epoch 15: Encoder Loss: 0.3130, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.2464, Decoder Loss: 0.0002
Epoch 16: Encoder Loss: 0.3058, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.2178, Decoder Loss: 0.0002
Epoch 17: Encoder Loss: 0.2500, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.3194, Decoder Loss: 0.0002
Epoch 18: Encoder Loss: 0.2199, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.1959, Decoder Loss: 0.0001
Epoch 19: Encoder Loss: 0.2165, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.2870, Decoder Loss: 0.0002
Epoch 20: Encoder Loss: 0.1940, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.1537, Decoder Loss: 0.0001
Epoch 21: Encoder Loss: 0.1869, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.1873, Decoder Loss: 0.0001
Epoch 22: Encoder Loss: 0.1623, Decoder Loss: 0.0001
Validation - Encoder Loss: 0.2008, Decoder Loss: 0.0002
Epoch 23: Encoder Loss: 0.1715, Decoder Loss: 0.0001
Validation - Encoder Loss: 0.2064, Decoder Loss: 0.0001
Epoch 24: Encoder Loss: 0.1743, Decoder Loss: 0.0001
Validation - Encoder Loss: 0.1721, Decoder Loss: 0.0001
Epoch 25: Encoder Loss: 0.1449, Decoder Loss: 0.0001
Validation - Encoder Loss: 0.1611, Decoder Loss: 0.0001
Epoch 26: Encoder Loss: 0.1384, Decoder Loss: 0.0001
Validation - Encoder Loss: 0.3177, Decoder Loss: 0.0002
Epoch 27: Encoder Loss: 0.1552, Decoder Loss: 0.0001
Validation - Encoder Loss: 0.1279, Decoder Loss: 0.0001
Epoch 28: Encoder Loss: 0.1301, Decoder Loss: 0.0001
Validation - Encoder Loss: 0.1397, Decoder Loss: 0.0001
Epoch 29: Encoder Loss: 0.1548, Decoder Loss: 0.0001
Validation - Encoder Loss: 0.1458, Decoder Loss: 0.0001
Epoch 30: Encoder Loss: 0.1505, Decoder Loss: 0.0001
Validation - Encoder Loss: 0.1168, Decoder Loss: 0.0001
Epoch 31: Encoder Loss: 0.1367, Decoder Loss: 0.0001
Validation - Encoder Loss: 0.0991, Decoder Loss: 0.0001
Epoch 32: Encoder Loss: 0.1234, Decoder Loss: 0.0001
Validation - Encoder Loss: 0.1128, Decoder Loss: 0.0001
Epoch 33: Encoder Loss: 0.1180, Decoder Loss: 0.0001
Validation - Encoder Loss: 0.1397, Decoder Loss: 0.0001
Epoch 34: Encoder Loss: 0.1207, Decoder Loss: 0.0001
Validation - Encoder Loss: 0.0989, Decoder Loss: 0.0001
Epoch 35: Encoder Loss: 0.1148, Decoder Loss: 0.0001
Validation - Encoder Loss: 0.0886, Decoder Loss: 0.0001
Epoch 36: Encoder Loss: 0.1125, Decoder Loss: 0.0001
Validation - Encoder Loss: 0.0945, Decoder Loss: 0.0001
Epoch 37: Encoder Loss: 0.1113, Decoder Loss: 0.0001
Validation - Encoder Loss: 0.0846, Decoder Loss: 0.0001
Epoch 38: Encoder Loss: 0.0999, Decoder Loss: 0.0001
Validation - Encoder Loss: 0.1488, Decoder Loss: 0.0001
Epoch 39: Encoder Loss: 0.1024, Decoder Loss: 0.0001
Validation - Encoder Loss: 0.1373, Decoder Loss: 0.0001
Epoch 40: Encoder Loss: 0.0986, Decoder Loss: 0.0001
Validation - Encoder Loss: 0.1112, Decoder Loss: 0.0001
Epoch 41: Encoder Loss: 0.1005, Decoder Loss: 0.0001
Validation - Encoder Loss: 0.1247, Decoder Loss: 0.0001
Epoch 42: Encoder Loss: 0.0918, Decoder Loss: 0.0001
Validation - Encoder Loss: 0.0751, Decoder Loss: 0.0000
Epoch 43: Encoder Loss: 0.0874, Decoder Loss: 0.0001
Validation - Encoder Loss: 0.1298, Decoder Loss: 0.0001
Epoch 44: Encoder Loss: 0.0908, Decoder Loss: 0.0001
Validation - Encoder Loss: 0.1204, Decoder Loss: 0.0001
Epoch 45: Encoder Loss: 0.0875, Decoder Loss: 0.0001
Validation - Encoder Loss: 0.0712, Decoder Loss: 0.0000
Epoch 46: Encoder Loss: 0.0805, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0797, Decoder Loss: 0.0000
Epoch 47: Encoder Loss: 0.0810, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0872, Decoder Loss: 0.0001
Epoch 48: Encoder Loss: 0.0777, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0645, Decoder Loss: 0.0000
Epoch 49: Encoder Loss: 0.0711, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0745, Decoder Loss: 0.0000
Epoch 50: Encoder Loss: 0.0674, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0817, Decoder Loss: 0.0001
Epoch 51: Encoder Loss: 0.0666, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0601, Decoder Loss: 0.0000
Epoch 52: Encoder Loss: 0.0642, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0555, Decoder Loss: 0.0000
Epoch 53: Encoder Loss: 0.0651, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0726, Decoder Loss: 0.0001
Epoch 54: Encoder Loss: 0.0638, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0529, Decoder Loss: 0.0000
Epoch 55: Encoder Loss: 0.0586, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0512, Decoder Loss: 0.0000
Epoch 56: Encoder Loss: 0.0605, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0450, Decoder Loss: 0.0000
Epoch 57: Encoder Loss: 0.0565, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0462, Decoder Loss: 0.0000
Epoch 58: Encoder Loss: 0.0523, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0404, Decoder Loss: 0.0001
Epoch 59: Encoder Loss: 0.0478, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0427, Decoder Loss: 0.0000
Epoch 60: Encoder Loss: 0.0507, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0496, Decoder Loss: 0.0000
Epoch 61: Encoder Loss: 0.0502, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0372, Decoder Loss: 0.0000
Epoch 62: Encoder Loss: 0.0444, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0397, Decoder Loss: 0.0000
Epoch 63: Encoder Loss: 0.0423, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0374, Decoder Loss: 0.0000
Epoch 64: Encoder Loss: 0.0437, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0336, Decoder Loss: 0.0000
Epoch 65: Encoder Loss: 0.0399, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0388, Decoder Loss: 0.0000
Epoch 66: Encoder Loss: 0.0397, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0309, Decoder Loss: 0.0000
Epoch 67: Encoder Loss: 0.0370, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0400, Decoder Loss: 0.0000
Epoch 68: Encoder Loss: 0.0351, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0302, Decoder Loss: 0.0000
Epoch 69: Encoder Loss: 0.0337, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0432, Decoder Loss: 0.0000
Epoch 70: Encoder Loss: 0.0343, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0252, Decoder Loss: 0.0000
Epoch 71: Encoder Loss: 0.0317, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0489, Decoder Loss: 0.0000
Epoch 72: Encoder Loss: 0.0290, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0239, Decoder Loss: 0.0000
Epoch 73: Encoder Loss: 0.0281, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0435, Decoder Loss: 0.0000
Epoch 74: Encoder Loss: 0.0275, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0257, Decoder Loss: 0.0000
Epoch 75: Encoder Loss: 0.0258, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0204, Decoder Loss: 0.0000
Epoch 76: Encoder Loss: 0.0266, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0272, Decoder Loss: 0.0000
Epoch 77: Encoder Loss: 0.0244, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0189, Decoder Loss: 0.0000
Epoch 78: Encoder Loss: 0.0221, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0258, Decoder Loss: 0.0000
Epoch 79: Encoder Loss: 0.0206, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0208, Decoder Loss: 0.0000
Epoch 80: Encoder Loss: 0.0211, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0241, Decoder Loss: 0.0000
Epoch 81: Encoder Loss: 0.0205, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0158, Decoder Loss: 0.0000
Epoch 82: Encoder Loss: 0.0194, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0188, Decoder Loss: 0.0000
Epoch 83: Encoder Loss: 0.0185, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0197, Decoder Loss: 0.0000
Epoch 84: Encoder Loss: 0.0190, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0281, Decoder Loss: 0.0000
Epoch 85: Encoder Loss: 0.0165, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0150, Decoder Loss: 0.0000
Epoch 86: Encoder Loss: 0.0167, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0134, Decoder Loss: 0.0000
Epoch 87: Encoder Loss: 0.0178, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0315, Decoder Loss: 0.0000
Epoch 88: Encoder Loss: 0.0141, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0163, Decoder Loss: 0.0000
Epoch 89: Encoder Loss: 0.0154, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0190, Decoder Loss: 0.0000
Epoch 90: Encoder Loss: 0.0157, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0185, Decoder Loss: 0.0000
Epoch 91: Encoder Loss: 0.0137, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0195, Decoder Loss: 0.0000
