
Loaded txt
Using 1D Conv Model with Uncertainties
  0%|          | 0/10000 [00:00<?, ?it/s]
Epoch 0: Encoder Loss: 3.6301, Decoder Loss: 0.0197
Validation - Encoder Loss: 0.5867, Decoder Loss: 0.0081
Epoch 1: Encoder Loss: 0.6517, Decoder Loss: 0.0071
Validation - Encoder Loss: 1.7268, Decoder Loss: 0.0073
Epoch 2: Encoder Loss: 0.7464, Decoder Loss: 0.0066
Validation - Encoder Loss: 1.5186, Decoder Loss: 0.0086
Epoch 3: Encoder Loss: 0.6271, Decoder Loss: 0.0061
Validation - Encoder Loss: 0.4852, Decoder Loss: 0.0054
Epoch 4: Encoder Loss: 0.5615, Decoder Loss: 0.0059
Validation - Encoder Loss: 0.7581, Decoder Loss: 0.0054
Epoch 5: Encoder Loss: 0.6231, Decoder Loss: 0.0058
Validation - Encoder Loss: 0.3989, Decoder Loss: 0.0051
Epoch 6: Encoder Loss: 0.5577, Decoder Loss: 0.0053
Validation - Encoder Loss: 0.3974, Decoder Loss: 0.0033
Epoch 7: Encoder Loss: 0.6616, Decoder Loss: 0.0037
Validation - Encoder Loss: 0.4045, Decoder Loss: 0.0018
Epoch 8: Encoder Loss: 0.6283, Decoder Loss: 0.0035
Validation - Encoder Loss: 1.5408, Decoder Loss: 0.0077
Epoch 9: Encoder Loss: 0.5513, Decoder Loss: 0.0032
Validation - Encoder Loss: 0.8737, Decoder Loss: 0.0032
Epoch 10: Encoder Loss: 0.5608, Decoder Loss: 0.0032
Validation - Encoder Loss: 0.5930, Decoder Loss: 0.0031
Epoch 11: Encoder Loss: 0.5951, Decoder Loss: 0.0033
Validation - Encoder Loss: 0.3428, Decoder Loss: 0.0026
Epoch 12: Encoder Loss: 0.5083, Decoder Loss: 0.0029
Validation - Encoder Loss: 0.5748, Decoder Loss: 0.0027
Epoch 13: Encoder Loss: 0.4961, Decoder Loss: 0.0029
Validation - Encoder Loss: 0.5882, Decoder Loss: 0.0018
Epoch 14: Encoder Loss: 0.3989, Decoder Loss: 0.0025
Validation - Encoder Loss: 0.4374, Decoder Loss: 0.0019
Epoch 15: Encoder Loss: 0.5067, Decoder Loss: 0.0028
Validation - Encoder Loss: 0.7193, Decoder Loss: 0.0039
Epoch 16: Encoder Loss: 0.4784, Decoder Loss: 0.0026
Validation - Encoder Loss: 0.3465, Decoder Loss: 0.0017
Epoch 17: Encoder Loss: 0.4125, Decoder Loss: 0.0024
Validation - Encoder Loss: 0.3224, Decoder Loss: 0.0025
Epoch 18: Encoder Loss: 0.4401, Decoder Loss: 0.0025
Validation - Encoder Loss: 0.3138, Decoder Loss: 0.0030
Epoch 19: Encoder Loss: 0.4344, Decoder Loss: 0.0024
Validation - Encoder Loss: 0.3197, Decoder Loss: 0.0016
Epoch 20: Encoder Loss: 0.4490, Decoder Loss: 0.0023
Validation - Encoder Loss: 0.2679, Decoder Loss: 0.0014
Epoch 21: Encoder Loss: 0.4215, Decoder Loss: 0.0023
Validation - Encoder Loss: 0.2661, Decoder Loss: 0.0018
Epoch 22: Encoder Loss: 0.3873, Decoder Loss: 0.0021
Validation - Encoder Loss: 0.6741, Decoder Loss: 0.0023
Epoch 23: Encoder Loss: 0.3826, Decoder Loss: 0.0021
Validation - Encoder Loss: 0.6657, Decoder Loss: 0.0013
Epoch 24: Encoder Loss: 0.3468, Decoder Loss: 0.0020
Validation - Encoder Loss: 0.2350, Decoder Loss: 0.0019
Epoch 25: Encoder Loss: 0.3232, Decoder Loss: 0.0019
Validation - Encoder Loss: 0.2262, Decoder Loss: 0.0015
Epoch 26: Encoder Loss: 0.3234, Decoder Loss: 0.0019
Validation - Encoder Loss: 0.2757, Decoder Loss: 0.0018
Epoch 27: Encoder Loss: 0.4035, Decoder Loss: 0.0020
Validation - Encoder Loss: 0.3586, Decoder Loss: 0.0013
Epoch 28: Encoder Loss: 0.3330, Decoder Loss: 0.0018
Validation - Encoder Loss: 0.2109, Decoder Loss: 0.0015
Epoch 29: Encoder Loss: 0.2820, Decoder Loss: 0.0017
Validation - Encoder Loss: 0.4497, Decoder Loss: 0.0013
Epoch 30: Encoder Loss: 0.3098, Decoder Loss: 0.0017
Validation - Encoder Loss: 0.2009, Decoder Loss: 0.0019
Epoch 31: Encoder Loss: 0.2885, Decoder Loss: 0.0016
Validation - Encoder Loss: 0.5267, Decoder Loss: 0.0026
Epoch 32: Encoder Loss: 0.3617, Decoder Loss: 0.0017
Validation - Encoder Loss: 0.1915, Decoder Loss: 0.0018
Epoch 33: Encoder Loss: 0.2961, Decoder Loss: 0.0016
Validation - Encoder Loss: 0.4900, Decoder Loss: 0.0013
Epoch 34: Encoder Loss: 0.2998, Decoder Loss: 0.0016
Validation - Encoder Loss: 0.3648, Decoder Loss: 0.0012
Epoch 35: Encoder Loss: 0.2936, Decoder Loss: 0.0015
Validation - Encoder Loss: 0.4198, Decoder Loss: 0.0014
Epoch 36: Encoder Loss: 0.2784, Decoder Loss: 0.0015
Validation - Encoder Loss: 0.1883, Decoder Loss: 0.0012
Epoch 37: Encoder Loss: 0.3050, Decoder Loss: 0.0015
Validation - Encoder Loss: 0.1713, Decoder Loss: 0.0016
Epoch 38: Encoder Loss: 0.2644, Decoder Loss: 0.0014
Validation - Encoder Loss: 0.2677, Decoder Loss: 0.0026
Epoch 39: Encoder Loss: 0.2494, Decoder Loss: 0.0013
Validation - Encoder Loss: 0.7186, Decoder Loss: 0.0021
Epoch 40: Encoder Loss: 0.2980, Decoder Loss: 0.0014
Validation - Encoder Loss: 0.1644, Decoder Loss: 0.0010
Epoch 41: Encoder Loss: 0.2509, Decoder Loss: 0.0013
Validation - Encoder Loss: 0.1590, Decoder Loss: 0.0008
Epoch 42: Encoder Loss: 0.2599, Decoder Loss: 0.0013
Validation - Encoder Loss: 0.3453, Decoder Loss: 0.0009
Epoch 43: Encoder Loss: 0.2678, Decoder Loss: 0.0013
Validation - Encoder Loss: 0.2988, Decoder Loss: 0.0025
Epoch 44: Encoder Loss: 0.2324, Decoder Loss: 0.0012
Validation - Encoder Loss: 0.1543, Decoder Loss: 0.0014
Epoch 45: Encoder Loss: 0.2574, Decoder Loss: 0.0012
Validation - Encoder Loss: 0.1886, Decoder Loss: 0.0011
Epoch 46: Encoder Loss: 0.2854, Decoder Loss: 0.0012
Validation - Encoder Loss: 0.5034, Decoder Loss: 0.0008
Epoch 47: Encoder Loss: 0.2754, Decoder Loss: 0.0012
Validation - Encoder Loss: 0.6831, Decoder Loss: 0.0009
Epoch 48: Encoder Loss: 0.1980, Decoder Loss: 0.0010
Validation - Encoder Loss: 0.2222, Decoder Loss: 0.0012
Epoch 49: Encoder Loss: 0.3138, Decoder Loss: 0.0013
Validation - Encoder Loss: 0.2600, Decoder Loss: 0.0009
Epoch 50: Encoder Loss: 0.2207, Decoder Loss: 0.0011
Validation - Encoder Loss: 0.1415, Decoder Loss: 0.0009
Epoch 51: Encoder Loss: 0.2059, Decoder Loss: 0.0010
Validation - Encoder Loss: 0.2772, Decoder Loss: 0.0024
Epoch 52: Encoder Loss: 0.2223, Decoder Loss: 0.0010
Validation - Encoder Loss: 0.1790, Decoder Loss: 0.0011
Epoch 53: Encoder Loss: 0.2070, Decoder Loss: 0.0010
Validation - Encoder Loss: 0.1838, Decoder Loss: 0.0011
Epoch 54: Encoder Loss: 0.2186, Decoder Loss: 0.0010
Validation - Encoder Loss: 0.1565, Decoder Loss: 0.0009
Epoch 55: Encoder Loss: 0.2100, Decoder Loss: 0.0010
Validation - Encoder Loss: 0.1722, Decoder Loss: 0.0011
Epoch 56: Encoder Loss: 0.1898, Decoder Loss: 0.0009
Validation - Encoder Loss: 0.1417, Decoder Loss: 0.0009
Epoch 57: Encoder Loss: 0.1918, Decoder Loss: 0.0009
Validation - Encoder Loss: 0.2366, Decoder Loss: 0.0012
Epoch 58: Encoder Loss: 0.2156, Decoder Loss: 0.0009
Validation - Encoder Loss: 0.2687, Decoder Loss: 0.0007
Epoch 59: Encoder Loss: 0.1840, Decoder Loss: 0.0008
Validation - Encoder Loss: 0.1249, Decoder Loss: 0.0008
Epoch 60: Encoder Loss: 0.2126, Decoder Loss: 0.0009
Validation - Encoder Loss: 0.1260, Decoder Loss: 0.0007
Epoch 61: Encoder Loss: 0.1901, Decoder Loss: 0.0008
Validation - Encoder Loss: 0.1406, Decoder Loss: 0.0005
