,Folder,Sample,T1,R^2_T1,T2,R^2_T2,A_Ratio,Stress,group
0,.ipynb_checkpoints,2_01_10_22_08:57:24-checkpoint,0.137,1.0,0.234,0.999,0.59,,
1,.ipynb_checkpoints,cal_01_10_22_08:43:00-checkpoint,0.398,0.994,0.557,0.975,0.71,,
2,.ipynb_checkpoints,1_01_10_22_08:56:12-checkpoint,0.137,1.0,0.128,0.999,1.07,,
3,humicacid,5_01_10_22_09:05:38,1.061,1.0,1.034,0.993,1.03,,
4,humicacid,1_01_10_22_09:01:26,0.136,1.0,0.127,0.999,1.07,,
5,humicacid,1_01_10_22_08:56:12,0.137,1.0,0.128,0.999,1.07,,
6,humicacid,6_01_10_22_09:07:00,1.186,0.996,1.292,0.975,0.92,,
7,humicacid,3_01_10_22_09:02:33,0.438,1.0,0.417,0.999,1.05,,
8,humicacid,cal_01_10_22_08:43:00,0.398,0.994,0.557,0.975,0.71,,
9,humicacid,4_01_10_22_09:04:04,0.741,1.0,0.692,0.998,1.07,,
10,humicacid,5_01_10_22_09:07:57,1.047,0.999,1.028,0.993,1.02,,
11,humicacid,2_01_10_22_09:00:08,0.242,1.0,0.233,0.999,1.04,,
12,humicacid,2_01_10_22_08:57:24,0.137,1.0,0.234,0.999,0.59,,
13,humicacid,6n_01_10_22_09:10:20,1.366,0.998,1.34,0.985,1.02,,
14,humicacid,5_01_10_22_09:06:48,1.186,0.996,1.292,0.975,0.92,,
